Method,RMSEpred_m,RMSEres_m,Pdrop,Pout,Pcorrect,CondRMSE_R_m,CondRMSE_v_mps,AvgFailRun,MaxFailRun,P_failrun_ge2,P_failrun_ge5,P_failrun_ge10
NoCompensation,0.0417624313830524,0.0417624313830524,NaN,0,0.65,0.00461252290000047,0.290986889109892,1.61538461538462,4,0.307692307692308,0,0
Oracle,0,0,NaN,0,0.666666666666667,0.00461252290000047,0.290986889109892,1.42857142857143,4,0.214285714285714,0,0
MatchedQuadraticKF,0.0121189283232048,0.00200158226479392,0,0,0.666666666666667,0.00461252290000047,0.290986889109892,1.42857142857143,4,0.214285714285714,0,0
MismatchedCircularKF,0.262216337367771,0.268036349763856,0.916666666666667,0.983333333333333,0.116666666666667,0.00461252290000047,0.290986889109892,13.25,30,1,0.75,0.75
FittedMatrixKF,0.0121189283232048,0.00200158226479392,0,0,0.666666666666667,0.00461252290000047,0.290986889109892,1.42857142857143,4,0.214285714285714,0,0
FullMapEKF,0.0121189283232047,0.00200158226479368,0,0,0.666666666666667,0.00461252290000047,0.290986889109892,1.42857142857143,4,0.214285714285714,0,0
LookupPlusKF,0.0124766604536268,0.0033389848204583,0,0,0.666666666666667,0.00461252290000047,0.290986889109892,1.42857142857143,4,0.214285714285714,0,0
