Regime,Scenario,Waveform,Pd,CondRangeErr_m,CondVelErr_mps,UnconditionalRangeErr_m,UnconditionalVelErr_mps,AvgConsecFailRun,MaxConsecFailRun
SF,i.i.d. (rho=0),OFDM,0.178,0.00461252290000047,0.290986889109892,5.4395773676924,112.358497748009,5.26923076923077,28
SF,i.i.d. (rho=0),SCFDMA,0.174,0.00461252290000047,0.290986889109892,5.2648536977288,122.24981598955,5.8169014084507,22
SF,AR(1) rho=0.99,OFDM,0.118,0.00461252290000047,0.290986889109892,6.1599740188252,130.792403781218,12.9705882352941,190
SF,AR(1) rho=0.99,SCFDMA,0.13,0.00461252290000047,0.290986889109892,5.9045208653634,132.614951523788,15,190
SL,i.i.d. (rho=0),OFDM,0.064,0.00461252290000047,0.290986889109892,6.7286733907138,151.493876316744,15.0967741935484,58
SL,i.i.d. (rho=0),SCFDMA,0.06,0.00461252290000047,0.290986889109892,6.7541050248102,158.607133346611,17.4074074074074,69
SL,AR(1) rho=0.99,OFDM,0.014,0.00461252290000047,0.290986889109892,7.3891945670466,168.509440163664,123.25,477
SL,AR(1) rho=0.99,SCFDMA,0.012,0.00461252290000047,0.290986889109892,7.4233570998326,166.822192998657,98.8,478
