Beam,W3dB_h,W3dB_v,W10dB_h,W10dB_v,Wnull_h,Wnull_v,SymX,SymY
"Circular Gaussian",0.253694842560141,0.253694842560141,0.463192090990249,0.463192090990249,NaN,NaN,1,1
"Elliptical Gaussian",0.253694842560141,0.152220088431845,0.463192090990249,0.277934672368282,NaN,NaN,1,1
"Rotated Elliptical Gaussian (\phi=30^\circ)",0.211086313440945,0.166086017410345,0.38540400733026,0.303240979893169,NaN,NaN,0,0
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",0.275345436676907,0.216640604338132,0.372073064911562,0.292755897147493,NaN,NaN,0,0
"Sidelobed (sinc^2, \phi=30^\circ)",0.161724820461502,0.125812839568241,0.28291984081378,0.213237417862765,0.428326884477683,0.288206025480372,0,0
